date;steps;distance;activeScore;activeScore;calories;caloriesIn;minutesSedentary;minutesLightlyActive;minutesFairlyActive;minutesVeryActive;timeInBed;minutesAsleep;minutesAwake;awakeningsCount
5/21/2013;10534;7.57395;605;605;2658;0;1192;125;105;18;0;0;0;0
5/22/2013;11228;8.07293;593;593;2643;0;1212;106;104;18;0;0;0;0
5/23/2013;16866;12.12665;925;925;3074;0;1028;247;152;13;0;0;0;0
5/24/2013;25312;18.19933;1366;1366;3648;0;1006;136;221;77;0;0;0;0
5/25/2013;10776;7.74794;589;589;2638;0;1200;111;121;8;0;0;0;0
5/26/2013;9668;6.95129;637;637;2700;0;1154;171;104;11;0;0;0;0
5/27/2013;8745;6.28766;778;778;2883;0;1017;342;70;11;0;0;0;0
5/28/2013;6075;4.36793;428;428;2428;0;1223;156;56;5;0;0;0;0
5/29/2013;10163;7.3072;988;988;3156;0;887;441;104;8;0;0;0;0
5/30/2013;7323;5.26524;567;567;2609;0;1150;199;91;0;0;0;0;0
5/31/2013;19095;13.72931;1270;1270;3523;0;876;392;137;35;0;0;0;0
6/1/2013;9846;7.07927;733;733;2825;0;1108;233;66;33;0;0;0;0
6/2/2013;11024;7.92626;704;704;2787;0;1084;214;130;12;0;0;0;0
6/3/2013;9587;6.89306;714;714;2800;0;1124;196;97;23;0;0;0;0
6/4/2013;9995;7.18641;638;638;2702;0;1258;63;58;61;0;0;0;0
6/5/2013;8547;6.14529;625;625;2685;0;1198;108;105;29;0;0;0;0
6/6/2013;12584;9.04143;891;891;3030;0;1145;145;77;73;0;0;0;0
6/7/2013;7377;5.30406;507;507;2531;0;1275;77;44;44;0;0;0;0
6/8/2013;7300;5.2487;516;516;2543;0;1237;66;125;12;0;0;0;0
6/9/2013;4218;3.02268;322;322;2290;0;1303;55;80;2;0;0;0;0
6/10/2013;5809;4.20615;411;411;2406;0;1288;53;79;20;0;0;0;0
6/11/2013;14438;10.36007;931;931;3082;0;1166;85;105;84;0;0;0;0
6/12/2013;8736;6.28118;607;607;2661;0;1227;84;90;39;0;0;0;0
6/13/2013;4882;3.50441;345;345;2321;0;1321;54;39;26;0;0;0;0
6/14/2013;17775;12.78023;1148;1148;3365;0;1097;117;127;99;0;0;0;0
6/15/2013;11251;8.08947;888;888;3027;0;1184;105;71;80;0;0;0;0
6/16/2013;13286;9.55263;1343;1343;3618;0;1221;32;55;132;0;0;0;0
6/17/2013;5699;4.09758;521;521;2549;0;1197;163;63;17;0;0;0;0
6/18/2013;10318;7.41864;714;714;2800;0;1190;100;105;45;0;0;0;0
6/19/2013;6279;4.5146;448;448;2454;0;1285;79;39;37;0;0;0;0
6/20/2013;5748;4.13281;448;448;2454;0;1262;97;56;25;0;0;0;0
6/21/2013;14327;10.30111;871;871;3004;0;1217;51;78;94;0;0;0;0
6/22/2013;5514;3.96457;446;446;2452;0;1245;100;82;13;0;0;0;0
6/23/2013;5589;4.01849;381;381;2367;0;1306;51;62;21;0;0;0;0
6/24/2013;7194;5.17249;505;505;2528;0;1275;85;37;43;0;0;0;0
6/25/2013;5708;4.10405;377;377;2362;0;1325;44;38;33;0;0;0;0
6/26/2013;18625;13.39138;1127;1127;3337;0;1146;67;115;112;0;0;0;0
6/27/2013;11486;8.27138;713;713;2799;0;1263;56;32;89;0;0;0;0
6/28/2013;12357;8.88468;756;756;2855;0;1256;52;40;92;0;0;0;0
6/29/2013;12628;9.07953;868;868;3000;0;1143;124;115;58;0;0;0;0
6/30/2013;2921;2.1002;225;225;2165;0;1342;43;52;3;0;0;0;0
7/1/2013;8641;6.23661;560;560;2600;0;1261;48;95;36;0;0;0;0
7/2/2013;9328;6.70683;631;631;2692;0;1234;81;76;49;0;0;0;0
7/3/2013;11860;8.52734;751;751;2848;0;1234;71;55;80;0;0;0;0
7/4/2013;4201;3.02052;335;335;2308;0;1292;69;71;8;0;0;0;0
7/5/2013;10534;7.58042;654;654;2722;0;1259;46;76;59;0;0;0;0
7/6/2013;6912;4.96973;533;533;2565;0;1222;105;90;23;0;0;0;0
7/7/2013;11158;8.0226;738;738;2832;0;1205;81;91;63;0;0;0;0
7/8/2013;11997;8.62584;846;846;2972;0;1125;118;161;36;0;0;0;0
7/9/2013;822;0.59102;63;63;2505;0;1412;12;16;0;0;0;0;0
7/10/2013;6326;4.54839;474;474;2488;0;1256;96;65;23;0;0;0;0
7/11/2013;6605;4.71952;488;488;2506;0;1253;88;76;23;0;0;0;0
7/12/2013;15016;10.86553;933;933;3085;0;1171;76;114;79;0;0;0;0
7/13/2013;10117;7.27412;591;591;2640;0;1314;22;26;78;0;0;0;0
7/14/2013;12032;8.67909;768;768;2871;0;1209;71;99;61;0;0;0;0
7/15/2013;8732;6.27831;552;552;2589;0;1281;51;60;48;0;0;0;0
7/16/2013;9486;6.82043;579;579;2625;0;1284;33;68;55;0;0;0;0
7/17/2013;2648;1.90391;209;209;2144;0;1348;44;44;4;0;0;0;0
7/18/2013;18607;13.37843;1115;1115;3321;0;1160;55;97;128;0;0;0;0
7/19/2013;6418;4.61454;483;483;2500;0;1235;90;106;9;0;0;0;0
7/20/2013;13526;9.78919;832;832;2954;0;1212;49;97;82;0;0;0;0
7/21/2013;5194;3.73449;390;390;2379;0;1268;61;110;1;0;0;0;0
7/22/2013;13983;10.05378;869;869;3002;0;1198;56;106;80;0;0;0;0
7/23/2013;3443;2.47552;259;259;2209;0;1330;47;60;3;0;0;0;0
